pdbid cs_true rmsd_true cs_pred rmsd_pred max_tanimoto mean_tanimoto
1fmn 0.49 0.65 0.54 1.42 0.25 0.13
1lvj 0.35 0.47 0.5 6.15 0.25 0.11
2lwk 0.2 0.95 0.46 5.48 0.3 0.11
2l94 0.27 0.59 0.43 3.78 0.37 0.13
1uts 0.33 0.98 0.35 7.7 0.54 0.12
1uud 0.36 1.06 0.62 1.72 0.61 0.15
1uui 0.47 0.72 0.55 1.23 0.61 0.13
1am0 0.63 0.68 0.74 1.67 0.75 0.28
1kod 0.4 0.68 0.61 2.18 0.77 0.2
1koc 0.36 0.77 0.61 1.7 0.81 0.2
2juk 0.24 1.1 0.48 6.79 0.95 0.46
1aju 0.6 1.07 0.74 1.4 1 0.15
1akx 0.3 1.33 0.45 2.68 1 0.15
1byj 0.55 0.8 0.85 2.93 1 0.53
1ei2 0.32 0.94 0.57 7.57 1 0.55
1fyp 0.33 0.79 0.76 4.82 1 0.55
1nem 0.32 0.54 0.7 8.28 1 0.55
1o15 0.38 0.84 0.92 1.08 1 0.12
1pbr 0.44 0.75 0.71 7.83 1 0.55
1qd3 0.38 0.5 0.38 9.67 1 0.55
1tob 0.29 0.54 0.86 8.47 1 0.54
2au4 0.21 1.37 0.35 6.42 1 0.26
2l1v 0.94 0.32 0.98 0.4 1 0.13
2m4q 0.53 0.6 0.6 0.84 1 0.52
2miy 0.33 0.46 0.31 0.58 1 0.13
2mxs 0.65 0.53 0.7 2.39 1 0.55
2n0j 0.48 0.63 0.65 6.94 1 0.55
2tob 0.78 0.31 0.92 1.09 1 0.54
5lwj 0.32 1.08 0.34 2.17 1 0.26
