pdbid cs_true rmsd_true cs_pred rmsd_pred max_tanimoto mean_tanimoto
4nyg 0.3 1.38 0.75 3.21 0.24 0.12
1xpf 0.35 1.06 0.63 4.6 0.32 0.12
1f27 0.86 0.96 0.91 1.89 0.44 0.17
1u8d 0.68 0.15 0.87 0.23 0.53 0.11
4b5r 0.28 0.51 0.44 5.64 0.57 0.22
2be0 0.65 0.98 0.72 1.12 0.65 0.41
4yb0 0.85 0.28 0.85 0.28 0.85 0.27
2bee 0.91 1.25 0.95 1.97 0.86 0.52
5c45 0.56 0.55 0.73 0.91 0.89 0.13
5kx9 0.62 0.42 0.66 0.5 0.89 0.13
1nta 0.55 0.88 0.73 2.62 0.91 0.42
2g5q 0.8 0.67 0.88 0.81 0.94 0.44
1ntb 0.6 0.61 0.7 0.89 0.95 0.45
2f4t 0.53 0.75 0.73 1.34 0.96 0.42
1j7t 0.94 0.55 0.97 2.09 1 0.55
1lc4 0.87 0.5 0.96 0.84 1 0.54
1mwl 0.97 0.16 0.99 0.45 1 0.53
1o9m 0.8 0.74 0.92 0.89 1 0.44
1y26 0.82 0.46 0.85 0.6 1 0.11
1yrj 0.74 0.61 0.93 10.02 1 0.52
2esj 0.66 0.74 0.86 1.07 1 0.55
2et3 0.85 0.74 0.93 1 1 0.53
2et4 0.85 0.57 0.9 0.71 1 0.55
2et8 0.93 0.43 0.97 1.07 1 0.52
2f4s 0.91 0.5 1 0.59 1 0.52
2f4u 0.92 0.84 0.95 1.26 1 0.44
2fcx 0.39 0.42 0.68 2.37 1 0.52
2fcy 0.97 0.62 1 1.4 1 0.55
2fcz 0.9 0.66 0.83 1.07 1 0.55
2fd0 0.91 0.76 0.92 2.02 1 0.55
2o3w 0.16 0.85 0.37 9.26 1 0.55
2o3x 0.71 0.59 0.91 2.13 1 0.55
2oe5 0.98 0.64 0.98 0.92 1 0.52
2oe8 0.91 0.57 0.96 0.88 1 0.52
3c44 0.92 0.7 0.96 1.2 1 0.55
4k32 0.06 0.47 0.74 2.01 1 0.53
4wcr 0.52 0.59 0.66 1.6 1 0.55
4znp 0.94 0.37 0.96 1.26 1 0.25
5btp 0.88 0.38 0.9 1.18 1 0.25
5uza 0.4 0.23 0.84 2.52 1 0.11
