pdbid cs_true rmsd_true cs_pred rmsd_pred status cs rmsd color method max_tanimoto
4nyg 0.3 1.38 0.75 3.21 1 0.75 3.21 forestgreen xray 0.235294
1lvj 0.35 0.47 0.5 6.15 0 0.5 6.15 red nmr 0.25
1fmn 0.49 0.65 0.54 1.42 1 0.54 1.42 forestgreen nmr 0.253406
2lwk 0.2 0.95 0.46 5.48 0 0.46 5.48 red nmr 0.304965
1xpf 0.35 1.06 0.63 4.6 1 0.63 4.6 forestgreen xray 0.317073
2l94 0.27 0.59 0.43 3.78 0 0.43 3.78 red nmr 0.373737
1f27 0.86 0.96 0.91 1.89 1 0.91 1.89 forestgreen xray 0.435294
1u8d 0.68 0.15 0.87 0.23 1 0.87 0.23 forestgreen xray 0.534483
1uts 0.33 0.98 0.35 7.7 0 0.35 7.7 red nmr 0.53913
4b5r 0.28 0.51 0.44 5.64 0 0.44 5.64 red xray 0.565445
1uud 0.36 1.06 0.62 1.72 1 0.62 1.72 forestgreen nmr 0.609524
1uui 0.47 0.72 0.55 1.23 1 0.55 1.23 forestgreen nmr 0.609524
2be0 0.65 0.98 0.72 1.12 1 0.72 1.12 forestgreen xray 0.650407
1am0 0.63 0.68 0.74 1.67 1 0.74 1.67 forestgreen nmr 0.748571
1kod 0.4 0.68 0.61 2.18 1 0.61 2.18 forestgreen nmr 0.765957
1koc 0.36 0.77 0.61 1.7 1 0.61 1.7 forestgreen nmr 0.809524
4yb0 0.85 0.28 0.85 0.28 1 0.85 0.28 forestgreen xray 0.850267
2bee 0.91 1.25 0.95 1.97 1 0.95 1.97 forestgreen xray 0.857143
5c45 0.56 0.55 0.73 0.91 1 0.73 0.91 forestgreen xray 0.891509
5kx9 0.62 0.42 0.66 0.5 1 0.66 0.5 forestgreen xray 0.891509
1nta 0.55 0.88 0.73 2.62 1 0.73 2.62 forestgreen xray 0.908257
2g5q 0.8 0.67 0.88 0.81 1 0.88 0.81 forestgreen xray 0.943396
1ntb 0.6 0.61 0.7 0.89 1 0.7 0.89 forestgreen xray 0.951923
2juk 0.24 1.1 0.48 6.79 0 0.48 6.79 red nmr 0.951923
2f4t 0.53 0.75 0.73 1.34 1 0.73 1.34 forestgreen xray 0.961905
1aju 0.6 1.07 0.74 1.4 1 0.74 1.4 forestgreen nmr 1
1akx 0.3 1.33 0.45 2.68 0 0.45 2.68 red nmr 1
1byj 0.55 0.8 0.85 2.93 1 0.85 2.93 forestgreen nmr 1
1ei2 0.32 0.94 0.57 7.57 1 0.57 7.57 forestgreen nmr 1
1fyp 0.33 0.79 0.76 4.82 1 0.76 4.82 forestgreen nmr 1
1j7t 0.94 0.55 0.97 2.09 1 0.97 2.09 forestgreen xray 1
1lc4 0.87 0.5 0.96 0.84 1 0.96 0.84 forestgreen xray 1
1mwl 0.97 0.16 0.99 0.45 1 0.99 0.45 forestgreen xray 1
1nem 0.32 0.54 0.7 8.28 1 0.7 8.28 forestgreen nmr 1
